"id","company","street","number","zipcode","city","staff","turnover","other.rev","total.rev","staff.costs","total.costs","profit","vat"
5832884,"Jetstar","Van Rensselaerlaan",99,"1494BW","Rolde",75,2604.08,47.3285,1130,229.07892,2333.02,20.045,2464.68
9000169,"Grasshopper Records","Auriollaan",13,"3052JY","Halfweg",9,1607,11.25,1607,131,1544,63,1603.3
4883776,"Grasshopper Entertainment","Mendelssohnstraat",139,"1367AP","Maassluis",16.7802954512894,6886,35.77,6919,324,6493,426,6169.12
6686423,"Blizzart","Oosterstroom",140,"2912LX","Oosterbierum",15.21877216299,3861,13,3874,290,3600,274,3636.96
4262180,"Equinetworks","Blindesteeg thans Springweg",104,"2699MZ","Vrouwenakker",16.3210238959072,5638.87,37,5602,314,5530,72,5325.97
7498860,"Voyage Softwares","Kaaszwamsingel",28,"2166QA","Tjerkwerd",1,25,9.2535,25,71.01,22,3,545.42
7475975,"Parableutions","Bombaydreef",239,"1331KY","Lijnden",5,1346,10.6435,1335,135,1210.34489,1,1346
1163310,"Sun Security","De Pottegieter",212,"1872CE","Haren",3,404,13,417,36.04,342,75,593.44
6714301,"Grasshopper Navigations","Hennepstraat",175,"1887UN","Culemborg",6,2596,36.869,2596,147,2486,110,2511.81
5232491,"Whiteoutwares","Louis Saalbornlaan",34,"2571JA","Noordeinde (Gld.)",5,1241.01186,10.3335,1267.07872,104.8,1119.54978,41.75908,1283.19
1131757,"Jupitelligence","Fanny Blankers-Koendreef",165,"2085ZA","Oost West en Middelbeers",5,645,9.0035,645,130,636,9,752.38
3559899,"Paragon Media","Marten Toonderstraat",90,"3385DN","Nederweert-Eind",5,2.872,8.3635,2.872,69.62,2.652,0.22,517.33
1200427,"Rush Microsystems","La Fontainestraat",15,"2559KX","Buchten",13,5678,12,5690,326,5656,34,5233.07
3817886,"Berrycords","Aphroditedreef",97,"1598NM","Rha",3.59332313591167,931.397,6.22,931.397,36.872,841.489,89.908,863
2152651,"Blossomman","Sparrendaal",153,"2988ZZ","Westernieland",3,80,8.8,389.47013,40,282.17379,48.98334,813
1115535,"Antarts","Bloementuinlaan",26,"3428VB","Aadorp",52,9067,42.388,9689,1125,9911,-222,9640
9419519,"Nimble ","Kranenburgerweg",58,"2484LR","Akmarijp",10,1500,20,1520,195,1384,136,1529.14
2899155,"Globeworks","Mitch Leighhof",226,"2507AK","Eibergen",4,440,8.7,440,16,379,61,296
5214334,"Worlddale","Vivaldiplantsoen",148,"1137XC","Ravenstein",3,690,13.33,690,19,464.507,225.493,486
1472330,"Nemotors","Vrijthof",211,"3571XD","Wijhe",8,1852,13.217,1852,120,1812,40,1312
9767622,"Deserprises","Stadsbaan Leidsche Rijn",42,"2171OP","Valkenburg",2,359,9,368,48.94872,339,29,257
4737728,"Moon Microsystems","Brucknerlaan",211,"3340GO","Avenhorn",3,839,7.7,839,2,717,122,654
5224482,"Questindustries","Nieuwewetering",187,"3384XR","Halle",2,471,9.87,471,34,411,60,377
8589734,"Tigress Microsystems","Carl Zellerhof",188,"2251LL","Haarlo",4,933,2,935,31,814,121,811
9422700,"Crowtube","Van Woerdenstraat",245,"2967CD","Anloo",3,1.665,9.9835,501.90848,70,186,48.24033,1472
9941262,"Aurashack","Papyrusdreef",173,"2716XO","Molenschot",6,2318,12.677,2318,184,2077.4,86,2082
8889127,"Heroworks","Amerhof",215,"3576CD","Schalsum",2,1058,12,755.90588,114,567.06676,17,1058
4863289,"Deluge Acoustics","De Wetstraat",234,"2022DO","Bergentheim",16,2946,7,2953,245,2870,83,2670
4213251,"Lemon Technologies","Ina Boudier-Bakkerlaan",84,"1078FX","Woltersum",1,492,11.397,492,66.14,470,22,449
4851488,"Slickorps","Muntbrug",80,"3441YJ","Driezum",6,1831,17.4535,1831,53,1443,388,1695
2899155,"Globeworks","Mitch Leighhof",226,"2507AK","Eibergen",29,7271,30,7301,451,7242,59,6754
5390272,"Chief Media","Monarchvlinderlaan",196,"2630QW","Lomm",8,971,6.08,1003.83131,28,747.54181,100,905
NA,NA,NA,NA,NA,NA,13,4118,11,4129,57,3601,528,3841
